"","date","recgroup","individuals_at_receiver","total_individuals","proportion","avg_depth"
"157",2020-11-16,"Central",1,4,25,3.58931552795031
"158",2020-11-16,"East End",1,4,25,3.95076242424242
"159",2020-11-16,"North shore",1,4,25,3.25950569948187
"160",2020-11-16,"West End",1,4,25,2.56417410071942
"161",2020-11-17,"East End",1,4,25,3.95076242424242
"162",2020-11-17,"North shore",2,4,50,2.64393915401867
"163",2020-11-17,"West End",1,4,25,2.95571974110032
"164",2020-11-18,"East End",1,4,25,3.95076242424242
"165",2020-11-18,"North shore",2,4,50,3.53087482993197
"166",2020-11-18,"West End",1,4,25,3.5342
"167",2020-11-19,"East End",1,4,25,3.95076242424242
"168",2020-11-19,"North shore",2,4,50,4.3686806231638
"169",2020-11-19,"West End",1,4,25,3.1774
"170",2020-11-20,"East End",1,4,25,3.95076242424242
"171",2020-11-20,"North shore",3,4,75,3.75008410368375
"172",2020-11-21,"East End",1,4,25,3.95076242424242
"173",2020-11-21,"North shore",2,4,50,3.32663851829392
"174",2020-11-21,"West End",1,4,25,2.69678118466899
"175",2020-11-22,"Bayfront area",1,4,25,3.09904266666667
"176",2020-11-22,"East End",1,4,25,3.95076242424242
"177",2020-11-22,"North shore",1,4,25,3.11235890410959
"178",2020-11-22,"West End",1,4,25,3.33647335907336
"179",2020-11-23,"Central",1,4,25,3.87606666666667
"180",2020-11-23,"East End",1,4,25,3.95076242424242
"181",2020-11-23,"North shore",2,4,50,3.12610194247039
"182",2020-11-24,"Central",1,4,25,4.29742704225352
"183",2020-11-24,"East End",1,4,25,3.95076242424242
"184",2020-11-24,"North shore",1,4,25,3.39508
"185",2020-11-24,"West End",1,4,25,4.14600412979351
"186",2020-11-25,"East End",1,4,25,3.95076242424242
"187",2020-11-25,"North shore",1,4,25,3.16442958579882
"188",2020-11-25,"West End",2,4,50,4.35471456947934
"189",2020-11-26,"East End",1,4,25,3.95076242424242
"190",2020-11-26,"North shore",1,4,25,2.18628739495798
"191",2020-11-26,"West End",2,4,50,1.91224867817052
"192",2020-11-27,"East End",1,4,25,3.95076242424242
"193",2020-11-27,"North shore",2,4,50,2.75358068223562
"194",2020-11-27,"West End",1,4,25,2.49311800302572
"195",2020-11-28,"East End",2,4,50,3.050422182995
"196",2020-11-28,"West End",2,4,50,3.96488039167254
"197",2020-11-29,"East End",1,4,25,3.95076242424242
"198",2020-11-29,"North shore",1,4,25,3.13038034682081
"199",2020-11-29,"West End",2,4,50,4.43967255286494
"200",2020-11-30,"East End",1,4,25,3.95076242424242
"201",2020-11-30,"North shore",2,4,50,4.8434101010101
"202",2020-11-30,"West End",1,4,25,2.46141012658228
"203",2020-12-01,"East End",1,4,25,3.95076242424242
"204",2020-12-01,"North shore",2,4,50,3.9189618587475
"205",2020-12-01,"West End",1,4,25,3.31552217573222
"206",2020-12-02,"East End",1,4,25,3.95076242424242
"207",2020-12-02,"North shore",2,4,50,4.94643012637211
"208",2020-12-02,"West End",1,4,25,3.46135613577023
"209",2020-12-03,"Bayfront area",1,4,25,4.43129328743546
"210",2020-12-03,"East End",1,4,25,3.95076242424242
"211",2020-12-03,"West End",2,4,50,4.27180220385675
"212",2020-12-04,"East End",1,4,25,3.95076242424242
"213",2020-12-04,"North shore",1,4,25,4.28101862197393
"214",2020-12-04,"West End",2,4,50,3.79258811316523
"215",2020-12-05,"East End",1,4,25,3.95076242424242
"216",2020-12-05,"West End",3,4,75,4.42023964280667
"217",2020-12-06,"Central",1,4,25,3.48755696202532
"218",2020-12-06,"East End",1,4,25,3.95076242424242
"219",2020-12-06,"West End",2,4,50,4.00515389391626
"220",2020-12-07,"East End",1,4,25,3.95076242424242
"221",2020-12-07,"West End",3,4,75,4.28995968812531
"222",2020-12-08,"East End",1,4,25,3.95076242424242
"223",2020-12-08,"West End",3,4,75,4.2131296007685
"224",2020-12-09,"East End",1,4,25,3.95076242424242
"225",2020-12-09,"North shore",1,4,25,6.05286131805158
"226",2020-12-09,"West End",2,4,50,3.64048896502964
"227",2020-12-10,"Central",1,4,25,6.23787209876543
"228",2020-12-10,"East End",1,4,25,3.95076242424242
"229",2020-12-10,"West End",2,4,50,3.75069596304193
"230",2020-12-11,"East End",1,4,25,3.95076242424242
"231",2020-12-11,"West End",3,4,75,4.2259127536473
"232",2020-12-12,"East End",1,4,25,3.95076242424242
"233",2020-12-12,"North shore",1,4,25,3.20291351351351
"234",2020-12-12,"West End",2,4,50,2.73081405878192
"235",2020-12-13,"East End",1,4,25,3.95076242424242
"236",2020-12-13,"North shore",2,4,50,4.47066803465572
"237",2020-12-13,"West End",1,4,25,4.546061003861
"238",2020-12-14,"East End",1,4,25,3.95076242424242
"239",2020-12-14,"West End",3,4,75,4.32255171256377
"240",2020-12-15,"East End",1,4,25,3.95076242424242
"241",2020-12-15,"West End",3,4,75,4.45455452499067
"242",2020-12-16,"Central",2,4,50,5.45446838709677
"243",2020-12-16,"East End",1,4,25,3.95076242424242
"244",2020-12-16,"West End",1,4,25,5.13006239067055
"245",2020-12-17,"East End",1,4,25,3.95076242424242
"246",2020-12-17,"North shore",2,4,50,6.64370682447499
"247",2020-12-17,"West End",1,4,25,5.57100909090909
"248",2020-12-18,"East End",1,4,25,3.95076242424242
"249",2020-12-18,"North shore",2,4,50,6.47098422901114
"250",2020-12-18,"West End",1,4,25,5.26972125984252
"251",2020-12-19,"East End",1,4,25,3.95076242424242
"252",2020-12-19,"North shore",2,4,50,6.86210307383896
"253",2020-12-19,"West End",1,4,25,3.66630810810811
"254",2020-12-20,"Bayfront area",1,4,25,5.7476512890095
"255",2020-12-20,"East End",1,4,25,3.95076242424242
"256",2020-12-20,"North shore",1,4,25,3.71086031746032
"257",2020-12-20,"West End",1,4,25,4.90421421319797
"258",2020-12-21,"East End",1,4,25,3.95076242424242
"259",2020-12-21,"North shore",2,4,50,5.69655574310723
"260",2020-12-21,"West End",1,4,25,4.84143775811209
"261",2020-12-22,"East End",1,4,25,3.95076242424242
"262",2020-12-22,"North shore",2,4,50,5.5459357572085
"263",2020-12-22,"West End",1,4,25,4.91299894459103
"264",2020-12-23,"Bayfront area",1,4,25,6.07285896907217
"265",2020-12-23,"Central",1,4,25,5.86697075718016
"266",2020-12-23,"East End",1,4,25,3.95076242424242
"267",2020-12-23,"West End",1,4,25,5.11100727272727
"268",2020-12-24,"East End",1,4,25,3.95076242424242
"269",2020-12-24,"North shore",2,4,50,6.46749369167001
"270",2020-12-24,"West End",1,4,25,5.1526347826087
"271",2020-12-25,"Central",2,4,50,7.21563347726696
"272",2020-12-25,"East End",1,4,25,3.95076242424242
"273",2020-12-25,"North shore",1,4,25,5.06519487179487
"274",2020-12-26,"Central",2,4,50,7.41755391774124
"275",2020-12-26,"East End",1,4,25,3.95076242424242
"276",2020-12-26,"West End",1,4,25,5.29609743589744
"277",2020-12-27,"Bayfront area",1,4,25,5.46572592592593
"278",2020-12-27,"Central",2,4,50,7.51749226649296
"279",2020-12-27,"East End",1,4,25,3.95076242424242
"280",2020-12-28,"Bayfront area",2,4,50,4.66605238981202
"281",2020-12-28,"Central",1,4,25,6.48562095238095
"282",2020-12-28,"East End",1,4,25,3.95076242424242
"283",2020-12-29,"Central",1,4,25,7.8341396593674
"284",2020-12-29,"East End",1,4,25,3.95076242424242
"285",2020-12-29,"North shore",1,4,25,5.36089367088608
"286",2020-12-29,"West End",1,4,25,5.82566220735786
"287",2020-12-30,"Central",2,4,50,6.71353643010753
"288",2020-12-30,"East End",1,4,25,3.95076242424242
"289",2020-12-30,"West End",1,4,25,5.68635238095238
"290",2020-12-31,"Central",2,4,50,7.27847592855885
"291",2020-12-31,"East End",1,4,25,3.95076242424242
"292",2020-12-31,"West End",1,4,25,5.84146366047745
"293",2021-01-01,"Central",1,4,25,7.66761802575107
"294",2021-01-01,"East End",1,4,25,3.95076242424242
"295",2021-01-01,"North shore",1,4,25,5.38130744849445
"296",2021-01-01,"West End",1,4,25,5.95208215053763
"297",2021-01-02,"Central",1,4,25,7.4858096
"298",2021-01-02,"East End",1,4,25,3.95076242424242
"299",2021-01-02,"North shore",2,4,50,5.89281062388174
"300",2021-01-03,"Central",2,4,50,6.82264687290466
"301",2021-01-03,"East End",1,4,25,3.95076242424242
"302",2021-01-03,"West End",1,4,25,5.59270944123314
"303",2021-01-04,"Central",2,4,50,6.5926514021001
"304",2021-01-04,"East End",1,4,25,3.95076242424242
"305",2021-01-04,"West End",1,4,25,3.93252084805654
"306",2021-01-05,"Bayfront area",1,4,25,4.92164
"307",2021-01-05,"Central",1,4,25,6.45599032679739
"308",2021-01-05,"East End",1,4,25,3.95076242424242
"309",2021-01-05,"North shore",1,4,25,6.29577538461538
"310",2021-01-06,"Central",1,4,25,6.78671628865979
"311",2021-01-06,"East End",1,4,25,3.95076242424242
"312",2021-01-06,"North shore",1,4,25,5.14476113575865
"313",2021-01-06,"West End",1,4,25,5.3196748603352
"314",2021-01-07,"Central",1,4,25,5.00392279069767
"315",2021-01-07,"East End",1,4,25,3.95076242424242
"316",2021-01-07,"North shore",1,4,25,6.9002221574344
"317",2021-01-07,"West End",1,4,25,5.42329546436285
"318",2021-01-08,"Central",1,4,25,7.20079547511312
"319",2021-01-08,"East End",1,4,25,3.95076242424242
"320",2021-01-08,"North shore",1,4,25,5.83129071618037
"321",2021-01-08,"West End",1,4,25,5.77258810408922
"322",2021-01-09,"Central",1,4,25,6.92708888888889
"323",2021-01-09,"East End",1,4,25,3.95076242424242
"324",2021-01-09,"North shore",1,4,25,5.96571266055046
"325",2021-01-09,"West End",1,4,25,5.62641694915254
"326",2021-01-10,"Central",1,4,25,6.28271016200295
"327",2021-01-10,"East End",2,4,50,5.11355037404147
"328",2021-01-10,"West End",1,4,25,5.34567799227799
"329",2021-01-11,"Central",2,4,50,6.20698464846981
"330",2021-01-11,"East End",1,4,25,3.95076242424242
